method_id,method,variant,citation_key,title,authors,year,venue_or_status,primary_source,official_repository,training_lane,encoder_optimization,exported_or_runtime_state,reports_exact_serialized_file_bytes,reported_rate_evidence,evidence_status,comparison_limitations,verified_as_of
gptq,GPTQ,one-shot second-order weight quantization,frantar2023gptq,GPTQ: Accurate Post-Training Quantization for Generative Pre-trained Transformers,"Elias Frantar; Saleh Ashkboos; Torsten Hoefler; Dan Alistarh",2023,"ICLR 2023; accepted OpenReview paper is titled OPTQ",https://arxiv.org/abs/2210.17323,https://github.com/IST-DASLab/gptq,frozen_ptq,"Calibration activations form a layerwise Hessian proxy; no model backpropagation or parameter learning.","Quantized codes; scales/zero-points; grouping and ordering metadata; unquantized exceptions.",no,"Bit width and compression/memory claims; no deployable output-file byte enumeration including metadata and alignment was found.",literature-reported,"Direct only after matching model, calibration tokens, group rules, tensor scope, physical serializer, and evaluation; no paper number is imported as our measurement.",2026-07-14
sparsegpt,SparseGPT,one-shot unstructured or semi-structured pruning,frantar2023sparsegpt,SparseGPT: Massive Language Models Can Be Accurately Pruned in One-Shot,"Elias Frantar; Dan Alistarh",2023,ICML 2023,https://proceedings.mlr.press/v202/frantar23a.html,https://github.com/IST-DASLab/sparsegpt,frozen_ptq,"Calibration activations form a second-order layer reconstruction problem; dense base is not retrained.","Surviving values; support representation or N:M layout; block and dense-exception metadata.",no,"Sparsity and runtime/compression claims; no byte-exact deployable sparse file including support metadata was found.",literature-reported,"Sparse storage and kernel assumptions can dominate the rate; compare only with identical structure, eligible tensors, serializer, and evaluation.",2026-07-14
wanda,Wanda,activation-magnitude pruning,sun2024wanda,A Simple and Effective Pruning Approach for Large Language Models,"Mingjie Sun; Zhuang Liu; Anna Bair; J. Zico Kolter",2024,ICLR 2024,https://openreview.net/forum?id=PxoFut3dWW,https://github.com/locuslab/wanda,frozen_ptq,"Weight-times-activation magnitude scores; the paper states no retraining or weight update.","Surviving values and either explicit support/mask data or an N:M layout; dense exceptions.",no,"Sparsity and accuracy are reported; no physical sparse artifact byte count including support was found.",literature-reported,"Do not treat logical zeros as free bytes; support encoding, tensor exclusions, kernels, calibration, and evaluation must match.",2026-07-14
awq,AWQ,activation-aware weight-only quantization,lin2024awq,AWQ: Activation-aware Weight Quantization for On-Device LLM Compression and Acceleration,"Ji Lin; Jiaming Tang; Haotian Tang; Shang Yang; Wei-Ming Chen; Wei-Chen Wang; Guangxuan Xiao; Xingyu Dang; Chuang Gan; Song Han",2024,MLSys 2024,https://proceedings.mlsys.org/paper_files/paper/2024/hash/42a452cbafa9dd64e9ba4aa95cc1ef21-Abstract-Conference.html,https://github.com/mit-han-lab/llm-awq,frozen_ptq,"Activation statistics guide scale and clipping search; the accepted paper explicitly says no backpropagation or reconstruction.","Packed codes; group scales/zero-points; any non-folded channel scales; exclusions and kernel metadata.",no,"Bit width, speedup, and memory claims; no byte-exact serialized artifact with scale/header/alignment overhead was found.",literature-reported,"Closest scale-protection control, but direct comparison requires matched folding audit, group size, tensor coverage, physical bytes, and evaluation.",2026-07-14
spqr,SpQR,sparse-quantized representation,dettmers2024spqr,SpQR: A Sparse-Quantized Representation for Near-Lossless LLM Weight Compression,"Tim Dettmers; Ruslan Svirschevski; Vage Egiazarian; Denis Kuznedelev; Elias Frantar; Saleh Ashkboos; Alexander Borzunov; Torsten Hoefler; Dan Alistarh",2024,ICLR 2024,https://openreview.net/forum?id=Q1u25ahSuy,https://github.com/Vahe1994/SpQR,frozen_ptq,"Calibration-based second-order sensitivity separates high-precision outliers; no dense-model training.","Quantized bulk codes/scales; sparse outlier values and indices; permutations and format metadata.",no,"Average bits per parameter, GPU memory, and compression factors are reported; no complete output-file byte enumeration was found.",literature-reported,"Closest heterogeneous Q+S payload, but outlier policy, index format, permutations, tensor scope, physical bytes, kernels, and evaluation must match.",2026-07-14
squeezellm,SqueezeLLM,dense-and-sparse non-uniform quantization,kim2024squeezellm,SqueezeLLM: Dense-and-Sparse Quantization,"Sehoon Kim; Coleman Richard Charles Hooper; Amir Gholami; Zhen Dong; Xiuyu Li; Sheng Shen; Michael W. Mahoney; Kurt Keutzer",2024,ICML 2024,https://proceedings.mlr.press/v235/kim24f.html,https://github.com/SqueezeAILab/SqueezeLLM,backward_assisted,"The main sensitivity path computes squared loss gradients/Fisher weights before sensitivity-weighted clustering; the dense base is not globally fine-tuned.","Non-uniform indices and codebooks; dense/sparse outlier values and indices; scale and format metadata.",no,"Memory requirement, precision, and speed are reported; no complete serialized file byte count including codebooks and sparse indices was found.",literature-reported,"Keep in a backward-assisted track; match gradient corpus/budget, codebooks, sparse payload, model/tensors, physical bytes, and evaluation.",2026-07-14
lqer,LQER,activation-scaled low-rank quantization error reconstruction,zhang2024lqer,LQER: Low-Rank Quantization Error Reconstruction for LLMs,"Cheng Zhang; Jianyi Cheng; George Anthony Constantinides; Yiren Zhao",2024,ICML 2024,https://proceedings.mlr.press/v235/zhang24j.html,https://github.com/ChengZhang-98/lqer,frozen_ptq,"Activation-induced scaling and truncated low-rank decomposition; no gradient-based iterative optimization.","Base quantized weights plus high-precision low-rank factors and their scale/layout metadata.",no,"Bit configuration and hardware-resource comparisons are reported; no byte-exact model artifact including factors and metadata was found.",literature-reported,"Match W/A scope, rank, factor precision, base quantizer, tensor coverage, factor bytes, kernels, and evaluation.",2026-07-14
qera,QERA,closed-form PTQ error reconstruction,zhang2025qera,QERA: An Analytical Framework for Quantization Error Reconstruction,"Cheng Zhang; Jeffrey T. H. Wong; Can Xiao; George Anthony Constantinides; Yiren Zhao",2025,ICLR 2025,https://openreview.net/forum?id=LB5cKhgOTu,https://github.com/ChengZhang-98/QERA,frozen_ptq,"Closed-form activation-aware low-rank reconstruction for the inference/PTQ path; QPEFT experiments are outside this row.","Base quantized weights plus low-rank factors and scale/layout metadata.",no,"Bit width and rank-based accuracy results are reported; no complete serialized artifact byte count was found.",literature-reported,"Use only inference/PTQ cells in the frozen track; QPEFT numbers require a fine-tuned track. Match factor precision/rank and all physical bytes.",2026-07-14
eora,EoRA,eigenspace low-rank compensation,liu2024eora,EoRA: Fine-tuning-free Compensation for Compressed LLM with Eigenspace Low-Rank Approximation,"Shih-Yang Liu; Maksim Khadkevich; Nai Chit Fung; Charbel Sakr; Chao-Han Huck Yang; Chien-Yi Wang; Saurav Muralidharan; Hongxu Yin; Kwang-Ting Cheng; Jan Kautz; Yu-Chiang Frank Wang; Pavlo Molchanov; Min-Hung Chen",2024,"arXiv:2410.21271; ICLR 2026 workshop presentations",https://arxiv.org/abs/2410.21271,https://github.com/NVlabs/EoRA,frozen_ptq,"Activation-sensitive eigenspace approximation constructs compensation without fine-tuning.","Underlying compressed model plus EoRA low-rank matrices; optional quantized compensation and kernel metadata.",no,"Rank, memory/compute overhead, and task recovery are reported; no complete deployable serialized file byte count was found.",literature-reported,"Task-specific compensation and base compressor vary; match task/calibration, rank/precision, base payload, physical bytes, kernels, and evaluation.",2026-07-14
slim,SLiM,one-shot quantization plus 2:4 sparsity and low-rank compensation,mozaffari2025slim,SLiM: One-shot Quantization and Sparsity with Low-rank Approximation for LLM Weight Compression,"Mohammad Mozaffari; Amir Yazdanbakhsh; Maryam Mehri Dehnavi",2025,ICML 2025,https://proceedings.mlr.press/v267/mozaffari25a.html,https://github.com/Mohammad-Mozaffari/slim,frozen_ptq,"One-shot probabilistic quantization, semi-structured pruning, and analytical low-rank compensation; optional PEFT is excluded.","Quantized values/scales; 2:4 layout or support descriptors; low-rank factors; format metadata.",no,"Bit width, 2:4 sparsity, rank, memory reduction, and speed are reported; no complete serialized file byte enumeration was found.",literature-reported,"Closest Q+S+L family, but compare the one-shot core only unless PEFT is a separate track; match rank, factor precision, sparse layout, bytes, kernels, and evaluation.",2026-07-14
