component_id,name,role,input_format,output_format,is_novel,replaceable_by,ablation_priority,notes
COMP-1,"Tensor-scope contract","Fix identical compressed tensors, exclusions, dtype, and evaluation scope before rate comparison.","pretrained model; tensor selection rules","ordered tensor manifest",no,"full eligible linear scope; selected MLP-only scope; alternative explicit manifest",high,"Standard reproducibility component; the current verified run uses only six selected MLP linear tensors."
COMP-2,"Calibration and Hessian proxy","Estimate activation covariance / Hessian proxy and component self/cross terms without updating the dense pretrained base.","calibration token windows; dense weights","per-layer proxy state; Hessian norms and correlations",no,"diagonal proxy; identity metric; held-out-only ranking",high,"A1 no-backward component; proxy is diagnostic and cannot replace endpoint loss."
COMP-3,"Base quantization Q","Create packed signed quantized codes and scales that define the common base perturbation.","dense tensor; quantizer configuration","quantized codes; scale state; Q perturbation",no,"RTN; GPTQ-style base; alternative bit/group settings",high,"Existing native baseline; charge codes, scales, metadata, padding, and alignment."
COMP-4,"Scale protection","Use block or component scalar degrees of freedom to adjust the amplitude of a compressed component.","Q/S/L candidate and calibration proxy","scaled candidate with foldable or stored scale state",no,"no scale; tensor scale; alternative block size",high,"Existing native mechanism; compare only after charging any non-folded scale state."
COMP-5,"Sparse support selection S","Select a small residual support using magnitude or Hessian/activation importance.","post-quantization residual; proxy state; byte budget","sparse support and initial values",no,"magnitude support; Wanda-style support; no sparse component",high,"Indices and row pointers are physical payload, not free parameters."
COMP-6,"OBS sparse-value repair","Re-estimate values on a fixed sparse support so already-paid positions better satisfy local stationarity.","fixed sparse support; residual; Hessian proxy","same support with repaired sparse values",no,"naive residual values; least-squares values; no sparse repair",high,"Existing native mechanism; current bounded run shows improvement over Q+S at identical artifact bytes."
COMP-7,"Low-rank repair L","Approximate the residual in a low-rank factor space without elementwise support indices.","post-quantization residual; candidate rank","left/right low-rank factors",no,"truncated SVD; randomized SVD; no low-rank component",high,"Existing native mechanism; rank increments are discrete and both factors must be charged."
COMP-8,"Exact serialized artifact codec","Serialize every code, scale, sparse value/support, factor, descriptor, header, padding, and alignment byte and verify round trip.","tensor manifest; Q/S/L/scale state","hashed decodable artifact; natural and file byte counts",no,"logical value-stream accounting; nominal bpw accounting",high,"Measurement infrastructure; research codec is not claimed as a production deployment format."
COMP-9,"Nested global exact-byte allocator","Choose among Q, Q+S_OBS, Q+L, and enumerated QSL states using a pruned byte/cost frontier, then verify the complete multi-layer file against the Q+L natural-byte cap.","component candidate states; local proxy costs; exact serializer oracle; target file cap","strict-budget heterogeneous endpoint and allocator audit",no,"legacy per-layer guard; logical-bit allocator; forced-composite allocator; exhaustive multiple-choice knapsack",high,"Implemented on 2026-07-16 but not yet executed. Exact refers to final serializer feasibility; optimality is limited to the enumerated rank/support states and additive Pareto pruning. Prior rate-distortion and allocation work precludes a base novelty claim."
COMP-10,"Loss-landscape and endpoint gate","Probe W+epsilon*(W_hat-W), fit local linear/quadratic terms, and accept claims only from epsilon=1 held-out NLL/PPL plus exact bytes.","dense and compressed endpoints; held-out windows; epsilon grid","landscape diagnostics; endpoint metrics; paired comparisons",no,"proxy-only selection; endpoint-only evaluation without diagnostics",high,"Existing diagnostic; current epsilon grid has 13 fixed points and descriptive fixed-window statistics."
COMP-11,"Method-factor ablation interface","Expose sparse support score, strict OBS refit, S/L order, low-rank fit metric/solver, covariance geometry/damping, whitening floor, and global/local-guard allocation as stage-recorded factors.","common runner arguments plus per-stage overrides","hash-bound method variant job",no,"single fixed method recipe",high,"Implemented and covered by the 15-job matrix. Pythia supplies matched allocator and full-vs-randomized-SVD controls; each other variant retains the same physical codec and selected-tensor scope within its model. The live directory has only two completed_valid CPU controls and thirteen planned rows; separate Qwen outputs are layer-0 gate-only sentinels, so no frontier claim exists."
COMP-12,"Byte-faithful heterogeneous endpoint audit protocol","Bind a declared tensor manifest, complete round-trip file accounting, signed local-PSD interaction diagnostics, and realized same-cap held-out endpoints into one fail-closed evidence contract.","model/source/config identities; Q/S/L candidates; research serializer; validation/test windows","hash-bound natural-byte feasibility record and endpoint evidence package",yes,"logical-rate study; proxy-only ranking; endpoint evaluation without artifact round trip",high,"The scoped novelty claim is the executable audit protocol and evidence contract, not the first Q/S/L combination, Hessian-rate method, orthogonality analysis, bitstream, or production codec. New allocator outputs remain partial untracked live state until fail-closed aggregation, review, and commit."
COMP-13,"Multimodal spectral gate and joint controller","Use effective rank, sink/global mass, local/cyclic fit, route stability, output sensitivity, and second-order temporal stability to select dense, global-low-rank, local-structured, dynamic-sparse, cache, and temporal-reuse paths jointly with static weight endpoints.","per-layer/head/timestep attention diagnostics; weight Q/S/L/OBS candidates; W/A PTQ candidates; cache and runtime profiles","scope-separated multimodal Pareto candidates with dense fallback and complete static/runtime accounting",no,"fixed BCCB template; static top-k only; independently optimized PTQ/cache/sparsity; speedup multiplication",high,"Proposed only. Read-only visual diagnostics and QuantSparse/CacheQuant literature motivate interaction-aware gating, but this repository has no HunyuanVideo endpoint, deployment artifact, peak-memory, or end-to-end speed result."
