experiment_id,type,claim_id,dataset,metric,baselines_involved,our_method_variant,expected_outcome,result_status,notes,training_lane,evidence_tier,models,seeds,tensor_scope,rate_definition,source_or_output
EXP-V-STRICT-RATE,main_comparison,C1;C2,"WikiText-2 held-out slice; 2032 NLL tokens","natural/final artifact bytes; tail padding; perplexity delta; NLL delta","Q-L; legacy Strict-QSL","strict QSL with component scale","Record the observed conservative-candidate ordering without extrapolation to a budget-exhausted frontier",verified,"Both final files are 3248832 bytes; strict QSL naturally underfills by 15680 bytes before tail padding and its QSL-minus-QL PPL is +0.557993",native,verified,EleutherAI/pythia-70m,1,"six selected MLP linear tensors","exact 64-byte-aligned serialized artifact bytes with natural size and padding separated","results/pretrained_hessian_repair_pythia70m_serialized_20260714/serialized_rate_summary.json"
EXP-V-PARAM-EFF,ablation,C5,"WikiText-2 fixed held-out windows","paired mean NLL difference; exact added bytes; improved-window count","Q-only; Q-block-scale; Q-S-naive; Q-S-OBS; Q-L","native repair endpoints","Report marginal loss recovery per byte and zero-byte repair effects only in the bounded scope",verified,"OBS versus naive sparse has identical artifact bytes; Q-L and block scale add physical state",native,verified,EleutherAI/pythia-70m,1,"six selected MLP linear tensors","exact serialized byte delta between decoded endpoints","results/pretrained_hessian_repair_pythia70m_serialized_20260714/paired_method_comparisons.csv"
EXP-V-ORTHOGONALITY,diagnostic,C3,"WikiText-2 calibration proxy","rho_H for Q-S; Q-L; S-L; component self/cross terms","Q-L; Strict-QSL","strict and relaxed QSL geometry","Distinguish S-L near-orthogonality from cancellation against Q",verified,"Current aggregate rho_H(S,L)=0.030354 while Q-S and Q-L correlations are negative and not near zero",native,verified,EleutherAI/pythia-70m,1,"six selected MLP linear tensors","same strict physical endpoint definitions as endpoint table","results/pretrained_hessian_repair_pythia70m_serialized_20260714/strategy_endpoints.csv"
EXP-V-LANDSCAPE,diagnostic,C4,"WikiText-2 held-out slice","NLL along epsilon; Hessian proxy; fitted linear/quadratic coefficients; correlation","Q-only; Q-block-scale; Q-S-OBS; Q-L; Strict-QSL; relaxed-QSL","13-point interpolation path","Report proxy agreement and endpoint-fit limits; do not infer untested directions",verified,"All six paths use the fixed epsilon grid from 0 to 1",native,verified,EleutherAI/pythia-70m,1,"six selected MLP linear tensors","only epsilon=1 is a serialized endpoint","results/pretrained_hessian_repair_pythia70m_serialized_20260714/comfort_sweep.csv; results/pretrained_hessian_repair_pythia70m_serialized_20260714/comfort_summary.csv"
EXP-V-CODEC,reproducibility,C11,"completed artifact set","on-disk bytes; SHA256; round-trip equality; exit status; elapsed time; peak RSS","Q-only; Q-block-scale; Q-S-naive; Q-S-OBS; Q-L; Strict-QSL","all serialized native endpoints","Verify that reported rate and endpoint state are auditable",verified,"Research artifact codec evidence; no production throughput claim",native,verified,EleutherAI/pythia-70m,1,"six selected MLP linear tensors","natural and aligned serialized bytes plus padding","results/pretrained_hessian_repair_pythia70m_serialized_20260714/artifact_manifest.json; results/pretrained_hessian_repair_pythia70m_serialized_20260714/formal_run.status"
EXP-SCALE-SMOKE-3JOB,scalability_smoke,C3;C4;C5;C11;C13,"WikiText-2 content-disjoint sequential windows","selected-weight artifact bytes; endpoint NLL/PPL; eight fixed-window differences; pairwise rho_H; six 13-point paths per job","Q-only; Q-global-scale; Q-block-scale; Q-S-naive; Q-S-OBS; Q-L; Strict-QSL; relaxed-QSL","all native endpoints in three separate jobs","Report repeated diagnostic signs and parameter-utilization controls without pooling models or upgrading frontier claims",verified,"All jobs use seed 17, target selected-weight artifact ratio 0.258, 1016 held-out tokens, and eight fixed windows. Strict-scaled-QSL-minus-QL NLL is positive and abs(rho_H(S,L))<=0.1 in each job; OBS improves Q+S at zero bytes in each job. These observations are not independent multi-seed evidence, a model-size trend, a cross-model leaderboard, or whole-model compression.",native,verified,"EleutherAI/pythia-70m; facebook/opt-125m; Qwen/Qwen3-0.6B","1 per job (seed 17); never aggregated","Pythia full MLP 12 tensors; OPT five-depth fc1/fc2 10 tensors; Qwen five-depth up/down MLP 10 tensors","exact 64-byte-aligned research-artifact bytes over selected linear weights; target/reference selected-weight ratio 0.258, not checkpoint ratio","results/large_scale_hessian_pilot_20260714/suite_manifest.json; paper/results/scaling_pilot_manifest.json; paper/results/scaling_pilot_summary.md"
EXP-SCALE-ALL,expanded_scaling_protocol,C7;C8;C12,"WikiText-2; preregistered independent splits must be consumed before confirmatory aggregation","PPL; NLL; exact selected-weight bytes; fixed-window differences; Hessian geometry; path diagnostics","all native endpoints; protocol-matched A0/A1 controls in later stages","69 expanded jobs across declared model/scope/rate cells","Execute multi-seed and multi-rate scaling without assuming smoke signs persist",planned,"The configuration expands to 69 jobs: Pythia-70M 8 seeds x 3 rates plus five optional model/scope controls at 3 seeds x 3 rates each. It remains unexecuted. The current runner shares sequential windows and has protocol_manifest_interface_supported=false, so seed aggregation and confirmatory labels remain forbidden until the preregistered protocol is consumed.",native,planned,"EleutherAI/pythia-70m; EleutherAI/pythia-160m; EleutherAI/pythia-410m; facebook/opt-125m; Qwen/Qwen3-0.6B; meta-llama/Llama-3.2-1B","8 x 3 rates for Pythia-70M; 3 x 3 for each optional control","Pythia-70M full MLP; other models explicit depth-stratified MLP scopes","exact selected-linear research-artifact bytes at rates 0.258,0.275,0.300; never whole-model ratio","configs/large_scale_hessian_suite_20260714.json"
EXP-LARGE-METHOD-ABLATION-20260716,method_and_scale_smoke,C0;C5;C8;C9;C11,"WikiText-2 content-disjoint sequential windows","natural/final selected-weight artifact bytes; NLL/PPL; paired windows; signed proxy terms; radial paths","matched global/local-guard allocation; full/randomized low-rank solver; Q; Q+S_OBS; Q+L; strict naive/OBS QSL; S->L/L->S; magnitude/Wanda; SVD/whitened SVD; full/diagonal/identity C","enumerated cross-layer budget-band allocator with exact complete-file feasibility and stage-recorded method factors","Test implementation integrity and directional robustness without precommitting any performance sign",planned,"Fifteen jobs are declared. The live 210 directory has 2 completed_valid Pythia/OPT global-OBS controls and 13 planned rows; their runtime manifests report CUDA unavailable/CPU execution. Separate untracked suites have 1/24 Pythia confirmatory-frontier completion and 2/28 Qwen2.5-3B layer-0 gate-only SVD sentinels. These are partial live uncommitted outputs, not a completed 3B/7B, full-MLP, multi-seed, multi-rate, or confirmatory result.",native,planned,"EleutherAI/pythia-70m; facebook/opt-125m; Qwen/Qwen2.5-3B-Instruct; meta-llama/Llama-2-7b-hf; mistralai/Mistral-7B-v0.1","1 (seed 17)","Pythia full MLP; OPT three-depth fc1/fc2; Qwen/Llama/Mistral three-depth gate/up only (six tensors), with down_proj excluded to avoid the intermediate-width full-spectrum bottleneck","complete natural serializer feasibility under the within-job Q+L cap; capped endpoints may be tail-padded only after natural-byte optimization","configs/large_model_method_ablation_20260716.json; untracked live results on server 210"
EXP-PROTOCOL-8SEED,protocol,C7,"WikiText-2 raw v1","split hashes; overlap checks; token counts","N/A","fixed calibration/validation/test manifest","Fix leakage controls and seed assignments before model runs",planned,"evidence_tier=preregistered: eight seeds 17,29,43,59,71,89,101,113; this is not a model result",native,preregistered,"all planned native models",8,"scope specified per later run","rate-independent data/split contract","results/confirmatory_hessian_protocol_20260714/protocol.json"
EXP-CFM-PYTHIA70M-8S,confirmatory,C2;C3;C4;C5;C7,"WikiText-2 preregistered splits","mean/std PPL delta; paired endpoint NLL; exact bytes; Hessian correlations","Q-only; Q-block-scale; Q-S-naive; Q-S-OBS; Q-L; Strict-QSL; relaxed-QSL","all current native endpoints","Estimate sign stability and variance; no directional outcome is precommitted",planned,"Execute the preregistered manifest with source_snapshot provenance",native,planned,EleutherAI/pythia-70m,8,"same eligible tensor manifest for every endpoint","strict exact bytes at Q-L plus separately labelled relaxed endpoint","results/confirmatory_pythia70m_8seed_YYYYMMDD/aggregate.json"
