name,paper_title,arxiv_id,code_url,category,datasets_tested,metrics_reported,strengths,weaknesses,selected,selection_reason,training_lane,evidence_status,direct_numeric_policy
RTN,"Round-to-nearest reference; no single canonical paper asserted",N/A,N/A,foundational,"Native WikiText-2 bounded run; future datasets planned","Exact artifact bytes; NLL; perplexity","Deterministic data-free reference; already implemented","Sensitive to range and group definition; no calibration adaptation",yes,"Required common base and A0 lower-complexity control",A0,"verified only for current bounded native run","Direct only under identical tensor scope, quantizer configuration, exact artifact bytes, and evaluation"
GPTQ,"GPTQ: Accurate Post-Training Quantization for Generative Pre-trained Transformers",2210.17323,https://github.com/IST-DASLab/gptq,foundational,"See primary paper; target protocol not yet normalized","Literature-reported only; no values imported into this paper contract","Canonical second-order weight-only PTQ","External reproduction and exact serialized payload matching are pending",yes,"Foundational Hessian-aware quantization comparator",A1,literature-reported,"Direct after matching model, calibration tokens, group rules, tensor scope, physical bytes, and evaluation"
AWQ,"AWQ: Activation-aware Weight Quantization for On-Device LLM Compression and Acceleration",2306.00978,https://github.com/mit-han-lab/llm-awq,direct_competitor,"See primary paper; target protocol not yet normalized","Literature-reported only; no values imported into this paper contract","Activation-aware salient-weight protection and foldable scaling","Clipping/search and scale folding must be audited; reproduction pending",yes,"Closest scale-protection PTQ control",A1,literature-reported,"Direct after matched calibration, group size, exported scale state, physical bytes, and evaluation"
SparseGPT,"SparseGPT: Massive Language Models Can Be Accurately Pruned in One-Shot",2301.00774,https://github.com/IST-DASLab/sparsegpt,foundational,"See primary paper; target protocol not yet normalized","Literature-reported only; no values imported into this paper contract","Canonical one-shot Hessian-informed pruning","Deployable support/index bytes and sparse kernel assumptions differ by format",yes,"Foundational sparse second-order comparator",A1,literature-reported,"Direct after matched sparsity structure, calibration, tensor scope, sparse encoding bytes, and evaluation"
Wanda,"A Simple and Effective Pruning Approach for Large Language Models",2306.11695,https://github.com/locuslab/wanda,foundational,"See primary paper; target protocol not yet normalized","Literature-reported only; no values imported into this paper contract","Simple activation-magnitude pruning without backward","Support encoding and tensor exclusions require explicit accounting",yes,"Foundational no-backward pruning comparator",A1,literature-reported,"Direct after matched support pattern, calibration, tensor scope, physical sparse bytes, and evaluation"
SpQR,"SpQR: A Sparse-Quantized Representation for Near-Lossless LLM Weight Compression",2306.03078,https://github.com/Vahe1994/SpQR,direct_competitor,"See primary paper; target protocol not yet normalized","Literature-reported only; no values imported into this paper contract","Joint quantized bulk plus sparse high-precision outliers","Outlier indices, permutations, and runtime format can dominate small-rate comparisons",yes,"Closest established heterogeneous quantization+sparse payload",A1,literature-reported,"Direct after matching outlier policy, calibration, exact payload, tensor scope, and evaluation"
SqueezeLLM,"SqueezeLLM: Dense-and-Sparse Quantization",2306.07629,https://github.com/SqueezeAILab/SqueezeLLM,direct_competitor,"See primary paper; target protocol not yet normalized","Literature-reported only; no values imported into this paper contract","Dense-and-sparse codebooks with Fisher sensitivity","Official main sensitivity path requires loss-gradient-square checkpoints",yes,"Closest dense+sparse parameter-efficiency baseline with backward cost disclosed",B,literature-reported,"Separate B-track comparison with gradient corpus, backward budget, codebooks, sparse bytes, and evaluation disclosed"
OmniQuant,"OmniQuant: Omnidirectionally Calibrated Quantization for Large Language Models",2308.13137,https://github.com/OpenGVLab/OmniQuant,direct_competitor,"See primary paper; target protocol not yet normalized","Literature-reported only; no values imported into this paper contract","Learned clipping and equivalent transformations under local reconstruction","Uses calibration backpropagation and may include activation quantization",yes,"Backward-assisted scale/transformation comparator",B,literature-reported,"Separate B track; match W-only versus W/A scope, steps, exported state, bytes, and evaluation"
SliderQuant,"SliderQuant: Accurate Post-Training Quantization for LLMs",2603.25284,https://github.com/deep-optimization/SliderQuant,direct_competitor,"See primary paper; target protocol not yet normalized","Literature-reported only; no values imported into this paper contract","Fused channel scales and a small low-rank repair are structurally close to the proposed components","Recent method; official reproduction and exact payload audit are pending",yes,"Recent scale+low-rank comparator",B,literature-reported,"Separate B track; charge LoRA factors, non-folded scales, rotations if used, and all metadata"
LiftQuant-block,"LiftQuant: Continuous Bit-Width LLM via Dimensional Lifting and Projection",2606.04050,https://github.com/Heliulu/LiftQuant,direct_competitor,"Official code audit plus bounded layer-0 smoke; target full-model protocol not run","No repository full-model PPL/task result; paper values remain literature-reported","Lifted binary code with block output-MSE correction","Pinned parser/protocol mismatch; unpatched Qwen smoke fails; no full reproduction",yes,"Recent lifted low-bit block-correction mechanism",B,literature-reported,"Mechanism or separate B-track only until protocol mapping, full-model metrics, and exported physical payload are verified"
