method_id,method,variant,lane,sub_lane,lane_definition,scope,gradient_training_signal,updated_state,objective,payload_must_count,strict_ptq_direct_comparison,comparison_conditions,reproduction_status,primary_paper,official_repo,evidence_note,verified_as_of
rtn,RTN,round-to-nearest baseline,A,A0,A：冻结稠密模型、无反向传播的 PTQ；A0：data-free，不使用校准样本或激活统计。,weight-only uniform quantization baseline,none; deterministic rounding from weight ranges,quantized weight codes and scale/zero-point only,local rounding error without calibration objective,packed weight codes; scale/zero-point; group metadata; padding; file/header/alignment,yes_if_protocol_matched,"same model, tensors, group size, clipping rule, excluded tensors, actual packed bytes, and evaluation set",native_baseline_implemented; measured_in_existing_exploratory_runs,not_applicable_baseline,not_applicable_baseline,Baseline definition; no single canonical paper or official repository is asserted.,2026-07-16
gptq,GPTQ,one-shot second-order weight quantization,A,A1,A：冻结稠密模型、无反向传播的 PTQ；A1：使用校准样本、激活统计或闭式二阶量，但不做梯度更新。,post-training weight-only quantization,no backpropagation; calibration activations form an approximate Hessian,quantized codes while processing columns; frozen dense model,approximately minimize layer reconstruction error under second-order weighting,packed codes; scale/zero-point; grouping/permutation metadata; unquantized tensors; padding/header/alignment,yes_if_protocol_matched,"match model, calibration data/tokens, bit/group configuration, tensor coverage, actual bytes, and evaluation",official_code_available; external_reproduction_pending,https://arxiv.org/abs/2210.17323,https://github.com/IST-DASLab/gptq,Scope and optimization characterization follow the paper and official implementation.,2026-07-16
awq,AWQ,activation-aware weight quantization,A,A1,A：冻结稠密模型、无反向传播的 PTQ；A1：使用校准样本、激活统计或闭式二阶量，但不做梯度更新。,post-training weight-only quantization,no backpropagation; calibration activation statistics guide salient-weight protection and scaling,quantized codes and equivalent/foldable channel scales; dense weights otherwise frozen,reduce quantization error by activation-aware rescaling and clipping/search,packed codes; scale/zero-point; any non-folded channel scales; tensor exclusions; padding/header/alignment,yes_if_protocol_matched,"match calibration, group size, clipping/search, protected tensors, folded-state verification, actual bytes, and evaluation",official_code_available; external_reproduction_pending,https://arxiv.org/abs/2306.00978,https://github.com/mit-han-lab/llm-awq,"Paper and official repository support a calibration-statistics, no-gradient PTQ classification.",2026-07-16
sparsegpt,SparseGPT,one-shot unstructured or semi-structured pruning,A,A1,A：冻结稠密模型、无反向传播的 PTQ；A1：使用校准样本、激活统计或闭式二阶量，但不做梯度更新。,post-training weight pruning,no backpropagation; calibration activations form a Hessian approximation,sparse weight values and support; dense model frozen,second-order layer reconstruction while removing weights,surviving values; mask/index or N:M metadata; block metadata; padding/header/alignment; any dense exceptions,yes_if_protocol_matched,"match sparsity structure, calibration, model/tensor coverage, deployable sparse encoding bytes, kernels, and evaluation",official_code_available; external_reproduction_pending,https://arxiv.org/abs/2301.00774,https://github.com/IST-DASLab/sparsegpt,The paper and official code establish the one-shot Hessian-informed pruning scope.,2026-07-16
wanda,Wanda,activation-magnitude pruning,A,A1,A：冻结稠密模型、无反向传播的 PTQ；A1：使用校准样本、激活统计或闭式二阶量，但不做梯度更新。,post-training weight pruning,no backpropagation; calibration activation magnitudes score weights,sparse values and support; dense model frozen,retain weights with large weight-times-activation importance,surviving values; mask/index or N:M metadata; padding/header/alignment; dense exceptions,yes_if_protocol_matched,"match sparsity pattern, calibration data, tensor coverage, actual sparse artifact bytes, kernels, and evaluation",official_code_available; external_reproduction_pending,https://arxiv.org/abs/2306.11695,https://github.com/locuslab/wanda,Classification follows the paper's pruning metric and official implementation.,2026-07-16
spqr,SpQR,sparse-quantized representation,A,A1,A：冻结稠密模型、无反向传播的 PTQ；A1：使用校准样本、激活统计或闭式二阶量，但不做梯度更新。,weight-only quantization with sparse outliers,no model backpropagation; calibration-based second-order sensitivity separates outliers,quantized bulk weights plus sparse high-precision outliers,minimize reconstruction loss while preserving sensitive outliers,bulk codes/scales/zero-points; outlier values and indices; permutations; padding/header/alignment,yes_if_protocol_matched,"match outlier policy, calibration, exact tensor coverage, serialized sparse/index overhead, kernels, and evaluation",official_code_available; external_reproduction_pending,https://arxiv.org/abs/2306.03078,https://github.com/Vahe1994/SpQR,Hybrid payload and second-order outlier treatment are documented by the primary sources.,2026-07-16
squeezellm,SqueezeLLM,dense-and-sparse non-uniform quantization,B,B,B：冻结 dense pretrained base 的校准型 PTQ；允许为局部重构、曲率统计执行 backward/HVP/STE，或优化最终可融合的量化/辅助状态，但不做全局任务恢复。,weight-only PTQ with non-uniform codebooks and sparse outliers,"no full-model parameter training, but the main sensitivity path performs backward in a separate framework to save squared loss gradients as a Fisher-based sensitivity checkpoint",non-uniform weight indices/codebooks plus sparse components,sensitivity-weighted quantization error with outlier separation,indices; codebooks; scales; sparse outlier values/indices; tensor exceptions; padding/header/alignment,yes_if_protocol_matched,"match the gradient corpus/objective and backward budget, codebook/outlier configuration, artifact bytes, runtime format, and evaluation; do not compare this main Fisher path as no-backward A1 PTQ",official_code_available; external_reproduction_pending,https://arxiv.org/abs/2306.07629,https://github.com/SqueezeAILab/SqueezeLLM,"The official quantization README requires a gradient-square checkpoint before sensitivity-weighted k-means; encoder-side gradients are not deployed, but their backward computation places the main path in B.",2026-07-16
lqer,LQER,low-rank quantization error reconstruction,A,A1,A：冻结稠密模型、无反向传播的 PTQ；A1：使用校准样本、激活统计或闭式二阶量，但不做梯度更新。,weight-only PTQ plus low-rank residual repair,no gradient training; activation-aware statistics can shape a low-rank error decomposition,base quantized weights and low-rank correction factors,approximate the quantization residual in a low-rank subspace relevant to activations,base codes/scales/zero-points; both low-rank factors with dtype/scales; rank metadata; padding/header/alignment,yes_if_protocol_matched,"match rank, factor dtype, calibration, base codec, actual repair bytes, tensor coverage, and evaluation",official_code_available; external_reproduction_pending,https://arxiv.org/abs/2402.02446,https://github.com/ChengZhang-98/lqer,Low-rank repair state must be charged in addition to the base codec.,2026-07-16
qera,QERA,quantization error reconstruction analysis,A,A1,A：冻结稠密模型、无反向传播的 PTQ；A1：使用校准样本、激活统计或闭式二阶量，但不做梯度更新。,weight-only PTQ plus low-rank error reconstruction,closed-form/statistical reconstruction without end-to-end weight fine-tuning,quantized base and low-rank reconstruction factors,minimize activation-weighted output reconstruction error,base codec; low-rank factor values/dtypes/scales; rank and grouping metadata; padding/header/alignment,yes_if_protocol_matched,"match calibration covariance, rank/dtype, base quantizer, serialized bytes, and evaluation protocol",official_code_available; external_reproduction_pending,https://arxiv.org/abs/2410.06040,https://github.com/ChengZhang-98/QERA,Method scope and reconstruction objective follow the primary paper and repository.,2026-07-16
eora,EoRA,eigen-oriented low-rank adaptation,A,A1,A：冻结稠密模型、无反向传播的 PTQ；A1：使用校准样本、激活统计或闭式二阶量，但不做梯度更新。,weight-only PTQ with calibration-oriented low-rank compensation,no full-model backpropagation in the PTQ repair stage; calibration eigenspace guides repair,quantized base and low-rank compensation factors,reconstruct quantization error in activation-sensitive eigen-directions,base codec; low-rank factors and their dtype/scales; eigenspace/rank metadata if stored; padding/header/alignment,yes_if_protocol_matched,"match calibration, rank, factor precision, base codec, actual bytes, tensor coverage, and evaluation",official_code_available; external_reproduction_pending,https://arxiv.org/abs/2410.21271,https://github.com/NVlabs/EoRA,The official paper/repository motivate an activation-sensitive low-rank repair comparison.,2026-07-16
quip_sharp,QuIP#,incoherence processing plus vector quantization,C,C,C：使用全局 CE/KL 梯度优化、QAT、下游 PEFT/微调，或主结果流水线以任务损失恢复全模型行为。,weight-only compression; main reported pipeline includes fine-tuning,reported pipeline uses optimization/fine-tuning after quantization; not a frozen closed-form-only PTQ control,lattice-quantized weights and pipeline-tuned state,second-order proxy plus end-to-end recovery in the reported pipeline,lattice bitstream; scales; RHT signs/seeds; codebooks/decoder state; tuned or unquantized tensors; padding/header/alignment,mechanism_only,can compare deployment frontier only after matching actual bytes and disclosing fine-tuning data/steps/compute; not strict frozen-PTQ evidence,official_code_available; external_reproduction_pending,https://arxiv.org/abs/2402.04396,https://github.com/Cornell-RelaxML/quip-sharp,Placed in C because the main official pipeline includes fine-tuning; codec components remain informative.,2026-07-16
