accuracy,examples,scope,status,strategy,task
1.0,2,residual_stack_validate,ok,residual_q_only,arc_easy
0.5,2,residual_stack_validate,ok,residual_q_only,hellaswag
1.0,2,residual_stack_validate,ok,residual_q_l_same_budget,arc_easy
0.5,2,residual_stack_validate,ok,residual_q_l_same_budget,hellaswag
1.0,2,residual_stack_validate,ok,residual_q_s_same_budget,arc_easy
0.5,2,residual_stack_validate,ok,residual_q_s_same_budget,hellaswag
1.0,2,residual_stack_validate,ok,residual_q_s_l_same_budget,arc_easy
0.5,2,residual_stack_validate,ok,residual_q_s_l_same_budget,hellaswag
1.0,2,residual_stack_validate,ok,residual_stack_selector,arc_easy
0.5,2,residual_stack_validate,ok,residual_stack_selector,hellaswag
1.0,2,residual_stack_validate,ok,sequential_qsr_matched_budget,arc_easy
0.5,2,residual_stack_validate,ok,sequential_qsr_matched_budget,hellaswag
1.0,2,residual_stack_validate,ok,spq_like_rsq_no_lora_matched_budget,arc_easy
0.5,2,residual_stack_validate,ok,spq_like_rsq_no_lora_matched_budget,hellaswag
1.0,2,residual_stack_validate,ok,hessian_guided_spq_no_lora_matched_budget,arc_easy
0.5,2,residual_stack_validate,ok,hessian_guided_spq_no_lora_matched_budget,hellaswag
1.0,2,residual_stack_validate,ok,paper_lq_factor_quant_matched_budget,arc_easy
0.5,2,residual_stack_validate,ok,paper_lq_factor_quant_matched_budget,hellaswag
1.0,2,residual_stack_validate,ok,paper_dam_closed_matched_budget,arc_easy
0.5,2,residual_stack_validate,ok,paper_dam_closed_matched_budget,hellaswag
1.0,2,residual_stack_validate,ok,paper_dam_activation_grid_matched_budget,arc_easy
0.5,2,residual_stack_validate,ok,paper_dam_activation_grid_matched_budget,hellaswag
