ID,Phase,Title,Section_Path,Claim_ID,Evidence_Type,Experiment_ID,Result_Status,Description,Source_Policy,Target_Citations,Visualization,Acceptance,Status,Verified_Citations,Depends_On,Must_Verify,Notes
"R1","Research","Lock evidence-status vocabulary","N/A","C1;C13","mixed","N/A","n/a","Audit every current claim and bind it to verified, preregistered, planned, or literature-reported evidence.","N/A","0","N/A","Evidence matrix contains no unscoped factual result and every verified numeric claim names a repository artifact.","DONE","0","N/A","yes","Verified scope now distinguishes the bounded run from three unpooled seed-17/target-0.258 selected-weight scalability-smoke jobs."
"R2","Research","Verify closest-work bibliography","N/A","C9","citation","N/A","n/a","Verify paper titles, author lists, years, BibTeX, official repositories, training lanes, and payload assumptions from primary sources.","N/A","0","N/A","At least twelve baseline records have primary-source metadata and each selected comparison has an explicit lane and fairness policy.","DONE","26","R1","yes","The 27-row paper subset now includes Harma, OBR, Hessian ECSQ, Optimal Formats, and ProjQ; literature numbers remain outside the measured leaderboard."
"R3","Research","Formalize theory obligations","N/A","C6","mixed","N/A","verified","Derive sufficient exact-rate combination conditions with first-order, Hessian self/cross, and discrete byte terms.","N/A","0","N/A","Derivation defines assumptions, handles nonzero first-order loss, and identifies at least one failure condition matching the strict current result.","DONE","0","R1","yes","The sufficient theoretical mechanism is formalized; the empirical frontier claim and ablation remain planned."
"R4","Research","Freeze method component interfaces","N/A","C0","n/a","N/A","planned","Audit the candidate, allocator, codec, and endpoint interfaces against notes/design/method-components.csv.","N/A","0","N/A","Every component has typed input/output, a replacement control, and a bounded novelty note.","DONE","0","R1;R3","yes","Interfaces and replacement controls are recorded; novelty remains bounded by the primary-source audit."
"R5","Research","Repair allocator and protocol validity","N/A","C0;C2;C4;C6","mixed","EXP-LARGE-METHOD-ABLATION-20260716","planned","Replace the forced per-layer strict candidate with a nested global exact-feasibility frontier; route comfort selection to validation; disclose the whitened-SVD fit metric.","N/A","5","N/A","Code includes Q/Q+S_OBS/Q+L degenerate states, intermediate support refinements, exact final serialization, strict OBS and S/L order factors; protocol tests keep comfort off test; whitening floor and PSD minima are audited.","DOING","5","R2;R3;R4","yes","Implementation and static checks are complete locally; numerical execution and full test suite remain blocked by unavailable 210/network dependencies."
"E1","Experiment","Revalidate bounded physical-rate result","N/A","C1;C2;C11","experiment","EXP-V-STRICT-RATE","verified","Recompute summaries and confirm file length, SHA256, decode, formal completion, and endpoint metrics for the completed run.","N/A","0","N/A","All summary checks pass and the strict QL/QSL artifacts remain byte-identical in length with the recorded endpoint metrics.","DONE","0","R1","yes","This is validation of an existing artifact, not a new seed."
"E2","Experiment","Execute preregistered eight-seed confirmation","N/A","C7","experiment","EXP-CFM-PYTHIA70M-8S","planned","Run all native endpoints under the fixed WikiText-2 manifest for eight seeds with source snapshots.","N/A","0","N/A","Eight complete runs and an aggregate file report per-seed values, mean, standard deviation, paired signs, and exact bytes.","TODO","0","E1;R4","yes","The split is preregistered; model executions are not complete."
"E3","Experiment","Scale across model sizes and families","N/A","C8;C12","experiment","EXP-SCALE-ALL","planned","Run the native endpoint matrix on larger Pythia models and a Qwen-family transfer set under explicit tensor scopes.","N/A","0","N/A","Each declared model has completed artifacts, disclosed seeds, identical within-model tensor scope, and exact-byte comparisons.","TODO","0","E2","yes","The completed three-job seed-17/target-0.258 selected-weight smoke does not satisfy this multi-seed, multi-rate, full-scope confirmatory issue."
"E3a","Experiment","Validate three-job scalability smoke","N/A","C3;C4;C5;C11;C13","experiment","EXP-SCALE-SMOKE-3JOB","verified","Validate the Pythia-70M full-MLP, OPT-125M five-depth MLP, and Qwen3-0.6B five-depth up/down-MLP jobs and build fail-closed within-model aggregates.","N/A","0","N/A","All three jobs are completed_valid; every selected-weight artifact size/hash, endpoint, fixed-window pair, Hessian decomposition, and 13-point path passes the aggregate checks, with no cross-model pooling.","DONE","0","E1;R3;R4","yes","One seed (17), one target selected-weight artifact ratio (0.258), 1,016 held-out tokens, and eight descriptive windows per job; not whole-model or confirmatory evidence."
"E3b","Experiment","Execute 3B/7B method-and-scale smoke","N/A","C0;C5;C8;C11","experiment","EXP-LARGE-METHOD-ABLATION-20260716","planned","Run 15 declared jobs covering matched global/local-guard and full/randomized-SVD controls, OBS/order/support/low-rank/covariance factors, and depth-stratified Qwen2.5-3B, Llama2-7B, and Mistral-7B scopes.","N/A","0","N/A","Every job is completed_valid with live disk/GPU/model checks, exact artifact hashes, and no unplanned tensor-scope change; negative and degenerate allocator selections remain visible.","TODO","0","R5","yes","Externally blocked as of 2026-07-16: four ssh-dev Profile 210 attempts timed out and the workstation has no active route to 172.25.5.210; no remote writes or experiments occurred."
